,closeness_global,geometry
251,3.216115180960095e-05,"LINESTRING (518354.0799999998 166230.0000000002, 518331.96 166134.5000000003)"
252,3.221893301561138e-05,"LINESTRING (518357.9999999999 166244.0000000006, 518354.0799999998 166230.0000000002)"
253,3.2236932866568404e-05,"LINESTRING (518362 166263.9999999994, 518357.9999999999 166244.0000000006)"
254,3.230529362899911e-05,"LINESTRING (518372.6899999999 166375.2300000002, 518362 166263.9999999994)"
255,3.1025550589393084e-05,"LINESTRING (518498.3799999999 165279.8700000012, 518448.6899999999 165293.0299999995)"
256,3.1053482011258614e-05,"LINESTRING (518448.6899999999 165293.0299999995, 518418.59 165301.0000000001)"
257,3.1195071917620346e-05,"LINESTRING (518448.6899999999 165293.0299999995, 518161.9999999999 165382.9999999995)"
258,3.1082065626969006e-05,"LINESTRING (518418.59 165301.0000000001, 518366 165299.9999999998)"
259,3.091070805923985e-05,"LINESTRING (518418.59 165301.0000000001, 518123.0699999998 165379.2700000005)"
260,3.1325478059192536e-05,"LINESTRING (518161.9999999999 165382.9999999995, 518161.9999999999 165353.0000000002)"
261,3.134595879992047e-05,"LINESTRING (518161.9999999999 165382.9999999995, 518154.9999999999 165392.9999999992)"
262,3.120260420964336e-05,"LINESTRING (518174.9999999999 165350.0000000006, 518366 165299.9999999998)"
263,3.130442673550515e-05,"LINESTRING (518161.9999999999 165353.0000000002, 518174.9999999999 165350.0000000006)"
264,3.0634707345843165e-05,"LINESTRING (518123.0699999998 165379.2700000005, 517852.5599999999 165436.4200000006)"
265,3.5440577612144664e-05,"LINESTRING (518039 168355, 518040 168397.64)"
266,3.540979959584355e-05,"LINESTRING (518039 168347.53, 518039 168355)"
