Route,Run,0
425,1,14111.779931449602
425,2,14010.007964343948
427,1,16726.71108404213
427,2,16367.134676828979
428,1,11988.323208905495
428,2,12155.288765735613
43,1,14753.181255527992
43,2,14726.799249779919
430,1,10192.546664019652
430,2,10279.018912958205
432,1,7800.13278463724
432,2,7520.433664121859
433,1,9355.705713621532
433,2,9204.692061882924
434,1,9648.305713874623
434,2,9054.642577604285
436,1,11177.399063723027
436,2,11096.002474971667
44,1,11223.098100096468
44,2,11259.662645478622
440,1,12687.732116455962
440,2,11898.412017256169
444,1,11448.720624873326
444,2,11544.449553824084
45,1,7273.2220098063935
45,2,7550.372799558296
450,1,12048.069121156197
450,2,12174.120537705927
452,1,13279.39371582379
452,2,13345.925324188845
453,1,12286.544924299396
453,2,12331.06329859298
455,1,19127.30327532765
455,2,18444.38916822386
456,1,13712.952485765296
456,2,13453.917035237737
46,1,12914.470066326214
46,2,12251.566824204849
460,1,9956.900096105122
460,2,9894.514029463573
462,1,11429.298787875094
462,2,11334.993827300917
463,1,17519.55894552346
463,2,17812.102512326004
464,1,9103.31726798259
464,2,9002.83293110894
465,1,24583.766640134007
465,2,24826.301758369606
466,1,17872.501964873725
466,2,18454.372670277564
467,1,11200.722227726494
467,2,11320.096270433138
467,3,1025.3587095373748
467,4,285.27180021866866
468,1,17151.957497689826
468,2,16878.059367468784
469,1,13703.49732083809
469,2,13132.643329114602
47,1,14318.28188356199
47,2,13795.453146584154
470,1,16290.735980030753
470,2,16217.598689077957
472,1,12802.194113218695
472,2,12813.862970553248
473,1,8073.957368657257
473,2,7988.360855773185
474,1,13082.280039021452
474,2,13370.89767697298
476,1,11068.578193542937
476,2,10830.781536391294
481,1,12412.075068892078
481,2,12300.034722144328
482,1,14475.19630079732
482,2,14035.845140554606
483,1,15776.033461917357
483,2,15422.013990188154
484,1,9386.146967093966
484,2,9566.183168335967
485,1,6168.126678612258
485,2,5950.4776280311235
485,3,230.58620947489467
485,4,230.58620947489467
486,1,13811.93916742653
486,2,13860.918715633477
487,1,12842.95685836376
487,2,13610.632828162274
488,1,8836.597193229038
488,2,7810.400012279846
49,1,9247.309108100255
49,2,9489.442353062905
490,1,17642.669970062987
490,2,17250.987481670225
491,1,12548.573681779817
491,2,12934.261524146012
492,1,20510.816283875567
492,2,20558.910245601866
493,1,18445.11762233127
493,2,16640.050119247968
496,1,11429.56761524472
496,2,11481.050757172061
497,1,2864.003769623376
497,2,3063.6901563718015
498,1,10953.847782757888
498,2,10896.16000790293
499,1,14219.158775886026
499,2,13298.059595316112
5,1,15706.95619008876
5,2,15792.725674239844
50,1,13705.390646211
50,2,13553.84482507039
507,1,2838.1874292343937
507,2,2986.439419989727
51,1,18232.316640249705
51,2,17884.4420188974
52,1,10324.824260197747
52,2,10460.52970240621
521,1,4717.065018634281
521,2,4618.350970885997
53,1,17678.966597255687
53,2,16892.144031278283
533,1,8157.870394710784
533,2,8337.066071671452
54,1,16136.748000532489
54,2,15926.599344631102
549,1,8756.556524226042
549,2,8660.826181216209
55,1,13867.285325957126
55,2,14233.29682089363
559,1,6417.608608566737
559,2,6415.353568664204
56,1,12152.97448577361
56,2,11992.053749021306
57,1,17206.504025700022
57,2,17197.599971362764
570,1,2169.0906480137
570,2,639.1814749658556
58,1,11682.93946909794
58,2,11695.480783940315
59,1,10041.246459734002
59,2,10056.510566125136
6,1,11769.923769335535
6,2,11899.22298281809
60,1,18364.071497687622
60,2,17833.463045476175
601,1,16081.153929958113
601,2,16455.892786197746
602,1,13131.441365073917
602,2,13414.3556177969
603,1,8919.141671696216
603,2,8788.931532962946
605,1,10540.314972498407
605,2,10818.810627408551
606,1,14048.744487085576
606,2,14018.806802414378
607,1,20217.867162286617
607,2,20461.20406206063
608,1,11096.14789531875
608,2,11172.68273655028
61,1,16006.067406387407
61,2,15791.735649650587
612,1,10264.806340541005
612,2,10107.987423819743
613,1,12102.005358136792
613,2,12379.293078535871
616,1,9924.450211362828
616,2,10259.917263570253
617,1,10325.939724973303
617,2,10301.60642581549
62,1,12744.90160978493
62,2,13495.845192026934
621,1,7581.711382746633
621,2,8208.993659204882
624,1,9988.248558084537
624,2,6947.145453884785
625,1,10509.424616082133
625,2,11041.658050465085
626,1,13708.361605150047
626,2,13610.876183441977
627,1,9757.149529369799
627,2,9795.653243247274
628,1,16867.824185942933
629,1,11302.332626206435
629,2,11011.156896907005
63,1,10969.994242200532
63,2,11422.662332838878
631,1,322.8513589873829
631,2,77.88452991448301
632,1,10435.618448551808
632,2,9586.426362963108
633,1,9310.203135576268
633,2,9162.65900238595
634,1,9454.766192781886
634,2,9545.475392880486
635,1,9481.478408419705
635,2,9384.214338262247
638,1,16626.26235710594
638,2,15132.703939653638
