,closeness_global,geometry
38,1.628675895515679e-07,"LINESTRING (8597357.382792154 3326041.889386856, 8597326.636348799 3326012.217859353, 8597311.87538432 3325987.935440511, 8597308.546931544 3325982.102594537, 8597306.298277831 3325941.805306696, 8597305.096027328 3325892.239049042, 8597303.225859884 3325854.541427829, 8597301.444748031 3325819.430621281, 8597299.129302625 3325773.402510191, 8597296.279523659 3325706.262616815, 8597293.151445966 3325632.478863642, 8597289.500166669 3325587.567213972, 8597286.884158636 3325556.933041769, 8597282.654017985 3325498.44174887, 8597280.461024018 3325467.389354571, 8597272.857902797 3325345.234578549, 8597267.781734016 3325290.611443437, 8597265.844774876 3325259.787762931, 8597266.100809705 3325246.309557294, 8597265.800247081 3325234.961501973, 8597267.147212917 3325224.665844506, 8597268.638894094 3325218.98548517, 8597271.266034076 3325214.28143943, 8597280.861774184 3325202.083894598, 8597287.863770155 3325193.499974208, 8597359.085980365 3325144.976203291, 8597362.926502796 3325142.275512584, 8597367.156643447 3325141.070979347, 8597374.615049329 3325139.397312293)"
39,3.7976606932576114e-05,"LINESTRING (8596029.630697668 3327369.707188314, 8596031.0444552 3327361.489631739, 8596031.467469266 3327353.170629008, 8596030.866344014 3327344.864312871, 8596029.10749606 3327336.02538368, 8596026.2131893 3327327.503494805, 8596022.216819581 3327319.425459349, 8596017.207442496 3327311.943452856, 8596011.274113636 3327305.171606536, 8596005.530027911 3327300.048339324, 8595999.262740579 3327295.597185498, 8595992.539043335 3327291.868869764, 8595985.436859822 3327288.926798224, 8595978.045245633 3327286.783651687)"
40,3.794486175119501e-05,"LINESTRING (8596013.03296159 3327400.80206251, 8596018.665727824 3327393.903356584, 8596023.352278387 3327386.3325382, 8596027.025821581 3327378.216422773, 8596029.630697668 3327369.707188314)"
41,3.793178841184006e-05,"LINESTRING (8596059.787147723 3327405.557606357, 8596056.169264272 3327398.646216522, 8596052.506853025 3327393.852630816, 8596044.369398249 3327386.687618365, 8596036.00930449 3327378.330555612, 8596029.630697668 3327369.707188314)"
42,3.795629704002226e-05,"LINESTRING (8595978.045245633 3327286.783651687, 8595974.338306589 3327280.798060829, 8595970.408728564 3327269.739942425, 8595969.317797557 3327245.265011176, 8595965.633122411 3327200.297197749, 8595960.824120408 3327153.465397817, 8595955.180222224 3327062.351198069, 8595951.896297246 3327001.748236329, 8595951.005741321 3326975.764753401, 8595953.387978423 3326964.123560803, 8595955.180222224 3326960.306570675)"
43,3.7998004700796946e-05,"LINESTRING (8595978.045245633 3327286.783651687, 8595969.184214167 3327285.337979075, 8595960.222995158 3327285.05898964, 8595951.284040049 3327285.959364652)"
44,3.746892240714212e-05,"LINESTRING (8594919.051797768 3327244.199782029, 8594964.536941707 3327314.352912114, 8595005.402326776 3327379.307025494)"
45,3.750666577213194e-05,"LINESTRING (8594919.051797768 3327244.199782029, 8594926.944349665 3327237.719639887, 8594932.988998016 3327229.502164762, 8594936.829520449 3327220.041929615, 8594938.232146032 3327209.934956594, 8594937.107819175 3327199.789947478)"
46,3.749872271440037e-05,"LINESTRING (8594920.053673185 3327175.188332465, 8594912.617531201 3327171.219107085, 8594904.52460422 3327168.835036179, 8594896.108850716 3327168.162931158, 8594890.220049653 3327168.720905134, 8594884.475963928 3327170.103158946, 8594878.987913031 3327172.309692853, 8594873.867216455 3327175.264419862, 8594869.225193689 3327178.929296766, 8594865.162032275 3327183.228236702, 8594861.744523907 3327188.059790321, 8594858.660974013 3327194.286283263, 8594856.679487078 3327200.943941876, 8594855.833458947 3327207.829866567, 8594856.16741742 3327214.766519906, 8594857.647966646 3327221.563682804, 8594860.252842732 3327227.993091949, 8594865.685233882 3327236.134478396, 8594872.876472989 3327242.766795334, 8594881.436941829 3327247.522282744, 8594890.8657027 3327250.121949913, 8594900.65068594 3327250.426301223, 8594910.224162148 3327248.409973916, 8594919.051797768 3327244.199782029)"
47,3.743504714757711e-05,"LINESTRING (8595005.402326776 3327379.307025494, 8595014.352413837 3327393.30732885, 8595022.04459065 3327405.329340215)"
